u_mag,g_mag,r_mag,i_mag,zed_mag,Spec z
24.1236,24.287,23.8775,23.2966,22.9899,0.8777
25.8929,25.6149,25.1662,24.946,24.7536,1.6083
25.635,25.5427,24.3811,23.9972,23.695,0.5897
24.9413,24.8705,24.3735,24.1476,23.6589,1.4787
25.1478,24.9724,23.8975,23.0205,22.5542,0.7685
26.2622,26.1484,25.8416,25.1619,24.6294,1.2522
25.0086,25.069,24.2099,23.6292,23.3645,0.7236
24.8213,24.5859,23.7469,23.6014,23.4239,0.1452
25.7019,25.1055,23.7356,22.9002,22.4173,0.7053
25.5409,25.4598,24.3966,24.2555,23.9027,0.5242
24.6746,24.8892,24.3369,23.6333,23.3005,0.8607
25.8229,25.5407,25.1448,24.6699,24.2714,1.5383
24.2371,24.388,23.6549,23.2583,22.4987,1.2441
24.9362,24.9043,24.516,24.3027,24.1092,1.9073
25.993,25.9286,25.6767,25.1684,24.3393,1.6793
27.1429,27.1324,24.8225,23.4937,22.316,1.1142
25.3615,25.1092,24.1324,23.8639,23.6589,0.1908
25.4818,25.2841,24.6396,24.2363,23.7881,1.4412
23.3784,23.3789,22.2619,22.002,21.7221,0.5161
23.6194,23.6709,23.3804,23.2694,22.6439,1.2763
25.0534,23.8622,21.6189,20.9719,20.5025,0.4594
25.3834,25.4788,24.2941,23.8468,23.787,0.5554
26.717,27.775,25.4517,23.8816,22.868,1.4214
25.8784,25.8967,25.3905,24.8741,24.4029,1.0974
24.0927,24.0576,22.9701,22.7808,22.3843,0.3194
25.2783,25.1203,24.3514,23.6879,22.9951,1.4766
24.5607,24.5057,23.6161,23.2371,23.1346,0.6006
25.6106,25.515,24.5886,24.1619,24.0241,0.6776
25.4064,25.2659,24.7162,24.1001,23.4984,1.0463
26.1127,25.5323,25.0759,24.907,24.8309,0.1253
25.094,25.3049,24.9804,24.5893,24.2262,1.1367
24.9489,24.9176,23.8743,23.6329,23.3834,0.5175
25.578,25.5649,24.4089,24.3564,24.1658,0.3037
24.4022,24.067,23.3435,23.0961,22.9553,0.1429
24.4098,24.509,24.2745,24.2353,24.1028,1.5979
25.7821,25.2579,24.6281,24.32,23.9028,2.0823
24.2537,24.3544,23.7732,23.4953,22.7956,1.2799
26.9468,26.4583,25.2816,25.0636,24.9268,2.9286
25.8165,25.5774,24.5524,24.0098,23.7342,0.605
24.5352,24.3815,23.9119,23.9415,23.5691,2.1148
25.1713,25.1595,24.4384,24.1554,24.1534,0.5728
24.6948,24.6073,24.2399,24.232,23.9407,1.725
24.1747,24.1749,23.7804,23.5337,23.2939,1.6385
24.7423,24.4224,22.9217,22.295,21.8448,0.5749
26.3465,25.9844,25.4469,24.8509,24.6114,0.7001
25.8186,25.4773,24.6153,24.4353,24.1238,2.0026
24.662,23.6298,21.4837,20.9254,20.4838,0.3701
24.6605,24.695,23.7209,23.1631,22.8827,0.6595
24.9467,24.9955,24.5165,24.2635,23.4359,1.4252
24.1108,24.1911,23.309,22.5391,21.984,0.9204
25.0397,25.0519,24.5962,24.3044,23.979,0.7904
24.8269,24.5694,23.1821,22.8114,22.439,0.4971
26.0005,25.8338,24.7165,24.6265,24.5699,0.2798
24.2708,24.2461,23.8254,23.6857,23.1774,1.3797
25.0233,25.1886,24.9266,24.8376,24.7567,1.6549
25.3342,25.7046,25.3023,25.3342,24.6275,1.2213
24.809,24.8147,23.7732,23.5709,23.3418,0.3135
24.7262,24.7503,24.3584,24.08,23.6003,1.1864
24.7494,24.7628,24.231,23.7297,23.4732,0.7656
25.6805,25.6532,24.6973,24.4185,24.2711,0.4343
25.5676,25.788,24.9482,24.2394,23.5926,0.9847
25.3882,25.3314,24.1094,23.7065,23.3769,0.499
